Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name
2016 Chevrolet Impala Limited LT,Used,"87,677 mi.","$12,998",Est. $244/mo,CarMax Bristol
2024 Jeep Grand Cherokee L Limited,Used,"6,376 mi.","$46,995",Est. $883/mo,Luxury Motors Credit
2019 RAM 1500 Laramie,Used,"23,593 mi.","$38,998",Est. $733/mo,CarMax Jacksonville NC
2013 INFINITI G37 X,Used,"72,681 mi.","$18,998",Est. $357/mo,CarMax Oak Lawn
2022 Audi e-tron S Premium Plus,Used,"15,286 mi.","$33,472",Est. $629/mo,Old Orchard Nissan
2025 Chevrolet Trailblazer LT,New,,"$28,365",Est. $533/mo,Jennings Chevy / VW
2016 Nissan Titan XD Platinum Reserve,Used,"89,945 mi.","$23,995",Est. $451/mo,Pro Cars USA Inc
2024 Ford Ranger XLT,New,,"$44,599",Est. $838/mo,Bredemann Ford
2009 GMC Envoy Denali,Used,"135,503 mi.","$7,995",Est. $150/mo,Omni Auto Sales Inc.
2019 Porsche Cayenne E-Hybrid S,Used,"58,064 mi.","$44,900",Est. $844/mo,Napleton Porsche of Westmont
2005 Buick Rendezvous CXL,Used,"64,646 mi.","$8,990",Est. $169/mo,Wheels of Chicagoland
2004 GMC Savana 1500 Cargo,Used,"94,452 mi.","$9,995",Est. $188/mo,Multi Autos
2016 BMW M2 Base,Used,"41,917 mi.","$23,777",Est. $447/mo,Greater Chicago Motors
2024 Ford Transit-250 Base,New,,"$46,653",Est. $877/mo,Ford of Homewood
2025 Audi RS Q8 4.0T,New,,"$155,790","Est. $2,928/mo",The Audi Exchange
2013 INFINITI G37 G37 Convertible 2D,Used,"111,178 mi.","$13,995",Est. $263/mo,Exclusive Auto Haus
2017 Nissan Rogue Hybrid SL,Used,"107,483 mi.","$13,250",Est. $249/mo,Schaumburg Toyota
2012 INFINITI G37 x,Used,"64,167 mi.","$11,900",Est. $224/mo,Steve
2007 Chevrolet Cobalt LS,Used,"169,000 mi.","$2,000",,Kassem Auto Sales
2012 Lexus IS 250 Base,Used,"62,252 mi.","$13,995",Est. $263/mo,Ray Buick
2025 Mercedes-Benz GLE-Class GLE 53 AMG,New,,"$112,510","Est. $2,115/mo",Loeber Motors Mercedes-Benz
2011 BMW 535 i xDrive,Used,"168,000 mi.","$6,500",Est. $122/mo,djordje
2022 Dodge Charger SXT,Used,"58,119 mi.","$18,998",Est. $357/mo,CarMax Palm Desert
2020 Cadillac CT4 Luxury,Used,"39,122 mi.","$24,998",Est. $470/mo,CarMax Austin North
2019 Acura TLX V6 Technology & A-Spec,Used,"27,843 mi.","$24,192",Est. $455/mo,McGrath Acura of Morton Grove
2022 Subaru Impreza Base,Used,"26,178 mi.","$18,900",Est. $355/mo,Bredemann Toyota/Scion
2022 Tesla Model X Plaid Tri Motor All-Wheel Drive,Used,"46,665 mi.","$61,895","Est. $1,163/mo",Jidd Motors Mitsubishi
2008 Toyota Tundra Base,Used,"113,710 mi.","$10,995",Est. $207/mo,Bose Motors
2013 Lexus ES 300h Base,Used,"93,321 mi.","$15,495",Est. $291/mo,carneed
2021 Bentley Continental GT V8,Used,"11,371 mi.","$177,888","Est. $3,344/mo",Chicago Auto Place
2022 Genesis GV80 2.5T,Used,"23,618 mi.","$41,500",Est. $780/mo,Napleton Aston Martin Maserati
2022 Land Rover Range Rover Velar P250 S R-Dynamic,Used,"16,417 mi.","$40,901",Est. $769/mo,Ogden Lincoln Of Westmont
2013 Land Rover Range Rover Sport Supercharged,Used,"82,489 mi.","$13,950",Est. $262/mo,Revved Motors
2017 Kia Sportage LX,Used,"53,941 mi.","$15,995",Est. $301/mo,DriveTime of South Chicago
2021 Jaguar F-PACE S P250 AWD Automatic,Used,"42,815 mi.","$29,997",Est. $564/mo,Napleton River Oaks Hyundai Kia
2024 Toyota Grand Highlander Limited,Used,"24,513 mi.","$48,829",Est. $918/mo,McGrath Kia Highland Park
2022 Acura ILX Technology & A-Spec Packages,Acura Certified,"35,965 mi.","$26,490",Est. $498/mo,Joe Rizza Acura
2022 BMW X7 xDrive40i,Used,"27,008 mi.","$57,500","Est. $1,081/mo",BMW of Orland Park
2023 Tesla Model 3 Standard Range,Used,"53,905 mi.","$24,990",Est. $470/mo,Car City Inc
2020 Land Rover Range Rover Velar SVAutobiography Dynamic Edition,Used,"42,857 mi.","$48,980",Est. $921/mo,BMW of Schererville
2015 BMW 535 535i xDrive,Used,"60,868 mi.","$16,995",Est. $319/mo,Conway Imports
2025 Chevrolet Equinox 1LT,New,,"$30,035",Est. $565/mo,Napleton Downtown Chevrolet Buick GMC
2012 Ford Focus SEL,Used,"66,699 mi.","$6,000",Est. $113/mo,Berman Subaru of Chicago
2025 Mercedes-Benz GLE-Class GLE 450,New,,"$77,755","Est. $1,462/mo",Loeber Motors Mercedes-Benz
2015 Lexus IS 250,Used,"19,272 mi.","$24,998",Est. $470/mo,CarMax Dothan
2025 RAM ProMaster 2500 Tradesman,New,,"$50,150",Est. $943/mo,Sherman Dodge Chrysler Jeep RAM
2025 Chevrolet Equinox 1LT,New,,"$30,640",Est. $576/mo,Webb Chevy
2024 BMW 430 i xDrive,Used,"30,142 mi.","$35,985",Est. $676/mo,Countryside Mitsubishi
2022 Tesla Model 3 Long Range,Used,"21,110 mi.","$26,971",Est. $507/mo,Old Orchard Nissan
2022 Tesla Model 3 Long Range,Used,"26,082 mi.","$25,872",Est. $486/mo,Old Orchard Nissan
2017 Toyota Corolla LE,Used,"54,393 mi.","$16,998",Est. $319/mo,CarMax Salisbury
2022 Honda Odyssey Elite,Used,"34,253 mi.","$35,988",Est. $676/mo,Jennings Chevy / VW
2004 Chevrolet Express 1500 Cargo,Used,"88,995 mi.","$18,995",Est. $357/mo,OKAZ MOTORS
2015 Cadillac Escalade ESV Luxury,Used,"96,950 mi.","$25,995",Est. $489/mo,OKAZ MOTORS
2024 Toyota Tundra Limited,Used,"13,926 mi.","$51,800",Est. $974/mo,Advantage Toyota of River Oaks
2021 Lexus GX 460 Base,Used,"100,821 mi.","$32,980",Est. $620/mo,Driven Auto of Oak Forest
2024 Alfa Romeo Tonale Veloce EAWD,New,,"$54,790","Est. $1,030/mo",Joe Rizza Maserati Alfa Romeo
2022 BMW M550 i xDrive,Used,"47,075 mi.","$51,000",Est. $959/mo,BMW of Orland Park
2014 Honda Accord EX-L,Used,"39,908 mi.","$16,989",Est. $319/mo,Dick Wickstrom Chevrolet
2021 BMW X5 PHEV xDrive45e,Used,"53,726 mi.","$42,500",Est. $799/mo,BMW of Orland Park
2025 Audi RS 5 2.9T,New,,"$89,680","Est. $1,686/mo",The Audi Exchange
2024 Mercedes-Benz Sprinter 3500XD High Roof,New,,"$79,419","Est. $1,493/mo",Mercedes-Benz of Hoffman Estates
2021 Toyota RAV4 Hybrid XLE Premium,Used,"81,074 mi.","$28,395",Est. $534/mo,INFINITI of Naperville
2015 GMC Acadia Denali,Used,"66,035 mi.","$22,998",Est. $432/mo,CarMax Oak Lawn
2011 Ferrari 458 Italia Base,Used,"12,185 mi.","$239,991","Est. $4,511/mo",Platinum Motorsports
2024 Land Rover Defender 110 P500 SE,New,,"$99,997","Est. $1,880/mo",Jaguar Land Rover Hinsdale
2019 Chevrolet Silverado 1500 LD LT Z71,Used,"30,975 mi.","$34,998",Est. $658/mo,CarMax Gaithersburg
2016 Lexus IS 200t,Used,"82,926 mi.","$20,998",Est. $395/mo,CarMax Golden
2022 Mercedes-Benz C-Class Sedan,Used,"43,008 mi.","$31,895",Est. $600/mo,Jidd Motors Mitsubishi
2024 Lexus RC 350 F Sport,New,,"$58,998","Est. $1,109/mo",McGrath Lexus of Westmont
2021 Jeep Renegade Latitude,Used,"38,256 mi.","$19,795",Est. $372/mo,DriveTime of South Chicago
2020 Chevrolet Tahoe LT,Used,"45,419 mi.","$41,950",Est. $789/mo,Net Motorcars
2024 Ford Bronco Big Bend,New,,"$47,658",Est. $896/mo,Ford of Homewood
2020 Volvo XC90 T5 Momentum 7 Passenger,Used,"37,377 mi.","$29,500",Est. $555/mo,BMW of Orland Park
2022 Kia Forte LXS,Used,"43,318 mi.","$13,920",Est. $262/mo,Arlington Nissan
2016 Lexus ES 350 Base,Used,"106,859 mi.","$18,995",Est. $357/mo,Woodfield Lexus
2025 Volkswagen Atlas Cross Sport 2.0T SE w/Technology 4MOTION,New,,"$43,591",Est. $819/mo,City Volkswagen of Highland
2025 Volkswagen Atlas Cross Sport 2.0T SEL Premium,New,,"$51,699",Est. $972/mo,City Volkswagen of Highland
2025 Subaru Crosstrek Limited,New,,"$36,049",Est. $678/mo,Napleton's Schaumburg Subaru
2020 Honda Pilot Touring 7-Passenger,Used,"87,064 mi.","$23,998",Est. $451/mo,Import Exchange Inc.
2014 Lexus GX 460 Base,Used,"151,272 mi.","$18,734",Est. $352/mo,Napleton's Schaumburg Subaru
2025 Mercedes-Benz AMG GLE 53 4MATIC+,Mercedes-Benz Certified,"3,708 mi.","$89,999","Est. $1,692/mo",Mercedes-Benz of Hoffman Estates
2021 Volvo XC40 Recharge Pure Electric Recharge P8 eAWD Pure Electric,Used,"17,336 mi.","$27,495",Est. $517/mo,Conway Imports
2015 Jeep Renegade Limited,Used,"36,335 mi.","$14,477",Est. $272/mo,Castle Chrysler Dodge Jeep Ram of Naperville
2024 Subaru Outback Wilderness,Used,"22,511 mi.","$32,795",Est. $616/mo,Haggerty Ford
2023 Acura MDX A-SPEC,Used,"21,739 mi.","$45,799",Est. $861/mo,McGrath Acura of Downtown Chicago
2020 Ford Escape SE,Used,"97,050 mi.","$13,949",Est. $262/mo,Midway Dodge
2024 Honda Ridgeline TrailSport,Honda Certified,"1,583 mi.","$39,497",Est. $742/mo,Honda City Chicago
2021 Volkswagen Tiguan SE R-Line Black,Used,"8,492 mi.","$26,998",Est. $507/mo,CarMax Columbus
2025 Chevrolet Equinox 1LT,New,,"$26,590",Est. $500/mo,Currie Motors Chevrolet
2024 Alfa Romeo Stelvio Base,Used,"15,057 mi.","$34,934",Est. $657/mo,Napleton's Countryside Mazda
2017 Honda Accord Hybrid,Used,"95,913 mi.","$17,998",Est. $338/mo,CarMax Albany
2024 RAM ProMaster 2500 High Roof,New,,"$44,518",Est. $837/mo,Larry Roesch Dodge Chrysler Jeep RAM
2021 INFINITI QX50 Luxe,INFINITI Certified,"21,776 mi.","$28,415",Est. $534/mo,INFINITI of Clarendon Hills
2020 Chevrolet Colorado WT,Used,"66,761 mi.","$16,250",Est. $305/mo,Gmotorcars Commercial Truck
2006 Jaguar XJ Super V8,Used,"140,111 mi.","$7,950",Est. $149/mo,Chicago Motor Credit
2021 Jaguar F-PACE S P250 AWD Automatic,Used,"71,096 mi.","$26,000",Est. $489/mo,Napleton's River Oaks Chrysler Jeep Dodge RAM
2025 Chevrolet Equinox 1LT,New,,"$33,675",Est. $633/mo,Bill Kay Chevrolet
2025 Chevrolet Equinox 1LT,New,,"$33,120",Est. $623/mo,Bill Kay Chevrolet
2025 Chevrolet Equinox 1LT,New,,"$31,980",Est. $601/mo,Bill Kay Chevrolet
2025 Chevrolet Equinox 1LT,New,,"$27,895",Est. $524/mo,Bill Kay Chevrolet
2025 Chevrolet Equinox 1LT,New,,"$32,180",Est. $605/mo,Bill Kay Chevrolet
2025 Chevrolet Equinox 1LT,New,,"$27,995",Est. $526/mo,Bill Kay Chevrolet
2018 Ford Transit-350 Base,Used,"169,099 mi.","$14,900",Est. $280/mo,Highland Park Truck & Auto Center
2021 Ford Explorer XLT,Ford Certified,"62,053 mi.","$23,797",Est. $447/mo,Currie Motors Ford of Frankfort
2025 Chevrolet Equinox LT,New,,"$28,621",Est. $538/mo,Phillips Chevrolet
2021 Audi A5 Sportback 45 S Line Premium Plus,Audi Certified,"35,681 mi.","$31,991",Est. $601/mo,Audi Naperville
2024 Acura RDX Advance Package,Prequalify now,"4,159 mi.","$46,991",Est. $883/mo,McGrath Acura of Downtown Chicago
2025 Audi Q5 40 Premium Plus,New,,"$54,575","Est. $1,026/mo",Fletcher Jones Audi
2025 Chevrolet Equinox AWD ACTIV,New,,"$35,930",Est. $675/mo,Napleton Downtown Chevrolet Buick GMC
2020 Toyota Supra 3.0 Premium,Used,"26,367 mi.","$49,998",Est. $940/mo,CarMax Rochester
2025 Hyundai Elantra SEL,New,,"$27,240",Est. $512/mo,McGrath City Hyundai
2021 Chevrolet Spark LT,Used,"47,564 mi.","$15,998",Est. $301/mo,CarMax Oak Lawn
2020 MINI Countryman S ALL4,Used,"27,972 mi.","$25,998",Est. $489/mo,CarMax Hillside (Eisenhower Expy)
2025 Chevrolet Equinox 1LT,New,,"$31,986",Est. $601/mo,Advantage Chevrolet
2016 Hyundai Elantra SE,Used,"91,024 mi.","$12,998",Est. $244/mo,CarMax Lynchburg
2022 BMW X3 xDrive30i,Used,"33,902 mi.","$32,750",Est. $616/mo,McGrath Lexus of Westmont
2025 Mercedes-Benz GLE 450e 4MATIC,New,,"$80,250","Est. $1,508/mo",Mercedes-Benz of Westmont
2018 Porsche Macan Base,Used,"86,229 mi.","$22,950",Est. $431/mo,Net Motorcars
2022 Ford F-150 XLT,Used,"42,256 mi.","$34,988",Est. $658/mo,Family Hyundai
2024 Honda Passport AWD TrailSport,Honda Certified,"1,061 mi.","$43,977",Est. $827/mo,Community Honda of Orland Park
2020 Chevrolet Silverado 1500 Custom,Used,"49,258 mi.","$27,998",Est. $526/mo,Bill Kay Chevrolet
2021 Nissan Sentra SR,Used,"44,003 mi.","$18,588",Est. $349/mo,Honda of Lisle
2024 Ford Bronco Outer Banks,New,,"$58,285","Est. $1,096/mo",Webb Ford
2023 Buick Envision Essence AWD,Buick Certified,"5,011 mi.","$32,775",Est. $616/mo,Arlington Heights Buick GMC
2015 Lexus GX 460 Base,Used,"85,390 mi.","$26,000",Est. $489/mo,Napleton's Arlington Heights Chrysler Dodge Jeep RAM
2024 Audi Q5 45 S line quattro Premium,Audi Certified,"7,293 mi.","$43,880",Est. $825/mo,Audi Hoffman Estates
2024 Mercedes-Benz Sprinter 3500XD High Roof,Used,202 mi.,"$189,800","Est. $3,568/mo",Chicago Motor Cars
2018 Porsche 718 Cayman GTS,Used,"44,017 mi.","$69,991","Est. $1,316/mo",Audi Naperville
2024 Honda Odyssey EX-L,Honda Certified,"23,190 mi.","$36,297",Est. $682/mo,Honda City Chicago
2024 Ford Bronco Black Diamond,New,,"$56,493","Est. $1,062/mo",Zeigler Ford of North Riverside
2025 Dodge Durango GT AWD,New,,"$51,585",Est. $970/mo,Sherman Dodge Chrysler Jeep RAM
2015 Chrysler 200 S,Used,"99,310 mi.","$12,599",Est. $237/mo,CarMax Dothan
2022 Honda CR-V AWD EX-L,Used,"49,235 mi.","$26,999",Est. $507/mo,The Autobarn Countryside Subaru
2019 RAM 3500 Tradesman,Used,"80,980 mi.","$46,998",Est. $883/mo,CarMax Jackson (MS)
2025 Chevrolet Equinox 1LT,New,,"$30,495",Est. $573/mo,Golf Mill Chevrolet
2018 GMC Acadia SLE-2,Used,"62,840 mi.","$17,900",Est. $336/mo,Al Piemonte Buick GMC
2025 Mercedes-Benz GLE 350 4MATIC,Mercedes-Benz Certified,"1,509 mi.","$68,877","Est. $1,295/mo",Mercedes-Benz of Westmont
2017 Lexus GX 460,Used,"81,582 mi.","$29,998",Est. $564/mo,CarMax Glencoe (Edens Expy)
2024 Ford Bronco Big Bend,New,,"$50,488",Est. $949/mo,Joe Rizza Ford Lincoln
2022 Nissan Rogue Platinum,Nissan Certified,"20,162 mi.","$31,900",Est. $600/mo,Glendale Nissan
2025 Chevrolet Equinox 1LT,New,,"$28,796",Est. $541/mo,Sunrise Chevrolet of Glendale Heights
2015 Bentley Continental GT V8,Used,"39,386 mi.","$64,995","Est. $1,222/mo",Greater Chicago Motors
2022 Chevrolet Trax LT,Used,"37,750 mi.","$17,991",Est. $338/mo,Chevrolet of Homewood
2025 Chevrolet Equinox 1LT,New,,"$26,996",Est. $507/mo,Sunrise Chevrolet of Glendale Heights
2025 Audi Q5 45 S line Premium,New,,"$53,100",Est. $998/mo,The Audi Exchange
2025 Audi Q5 45 S line Premium Plus,New,,"$57,640","Est. $1,083/mo",The Audi Exchange
2012 Toyota RAV4 Base,Used,"103,080 mi.","$11,475",Est. $216/mo,Arlington Heights Buick GMC
2023 Audi Q7 55 Premium Plus,Used,"15,506 mi.","$49,995",Est. $940/mo,Napleton's Schaumburg Buick GMC
2014 Scion tC Base,Used,"41,804 mi.","$17,985",Est. $338/mo,CollegeCarsChicago.com
2014 Mercedes-Benz GLK-Class GLK 350 4MATIC,Used,"131,255 mi.","$10,531",Est. $198/mo,BMW of Schererville
2021 Nissan Kicks S,Used,"24,211 mi.","$16,464",Est. $309/mo,Berman Nissan of Chicago
2023 Mercedes-Benz CLA 250,Used,"24,074 mi.","$34,998",Est. $658/mo,CarMax Tupelo
2025 Hyundai Sonata SEL,New,,"$27,309",Est. $513/mo,McGrath City Hyundai
2022 Honda Odyssey EX-L,Used,"17,569 mi.","$34,976",Est. $657/mo,Zeigler Buick GMC of Lincolnwood
2019 Jeep Renegade Latitude,Used,"47,359 mi.","$13,900",Est. $261/mo,Capital Auto Finance
2009 Nissan Altima 2.5 SL,Used,"48,566 mi.","$7,995",Est. $150/mo,Moto Zone Inc.
2022 Toyota Corolla LE,Used,"51,451 mi.","$19,695",Est. $370/mo,Baha Auto Group Inc.
2019 Jaguar F-PACE 25t Prestige,Used,"54,078 mi.","$25,998",Est. $489/mo,CarMax Buford
2024 Ford Bronco Wildtrak,New,,"$63,923","Est. $1,202/mo",Roesch Ford
2019 Jaguar I-PACE First Edition,Used,"46,257 mi.","$23,985",Est. $451/mo,Jidd Motors Mitsubishi
2018 Land Rover Range Rover 5.0L Supercharged,Used,"59,339 mi.","$37,888",Est. $712/mo,Chicago Auto Place
2019 Toyota Camry XSE,Used,"65,963 mi.","$28,950",Est. $544/mo,Net Motorcars
2018 Cadillac ATS 2.0L Turbo Luxury,Used,"90,092 mi.","$18,550",Est. $349/mo,Rizza Cadillac Buick GMC
2021 Ford F-150 Lariat,Used,"34,857 mi.","$47,990",Est. $902/mo,Joe Rizza Ford Lincoln
2023 Volkswagen Tiguan 2.0T SEL R-Line 4MOTION,Used,"28,158 mi.","$29,371",Est. $552/mo,Zeigler Chrysler Dodge Jeep Ram of Downers Grove
2023 GMC Acadia AWD SLE,Used,"18,735 mi.","$29,995",Est. $564/mo,Bill Kay Buick GMC
2025 Chevrolet Equinox 1LT,New,,"$38,495",Est. $724/mo,Chevrolet of Homewood
2023 Subaru Outback Premium,Subaru Certified,"39,139 mi.","$25,936",Est. $487/mo,Napleton's Schaumburg Subaru
2024 Mercedes-Benz Sprinter 3500XD Cargo 170 WB,New,,"$91,123","Est. $1,713/mo",Mercedes-Benz of Hoffman Estates
2025 Chevrolet Equinox ACTIV,New,,"$34,075",Est. $640/mo,Phillips Chevrolet
2021 Audi A6 45 Sport Premium,Used,"33,866 mi.","$31,444",Est. $591/mo,Fletcher Jones Audi
2025 Buick Encore GX Preferred,New,,"$24,776",Est. $466/mo,Zeigler Buick GMC of Lincolnwood
2025 Buick Encore GX Sport Touring,New,,"$26,879",Est. $505/mo,Zeigler Buick GMC of Lincolnwood
2020 BMW X2 SDrive28i,Used,"43,469 mi.","$24,998",Est. $470/mo,CarMax Augusta
2022 Ford F-150 XLT,Ford Certified,"29,358 mi.","$37,577",Est. $706/mo,Al Piemonte Ford
2024 Cadillac XT6 Premium Luxury FWD,Used,"16,647 mi.","$45,500",Est. $855/mo,Al Piemonte Nissan
2024 Hyundai Tucson Plug-In Hybrid SEL,Used,"17,599 mi.","$29,998",Est. $564/mo,CarMax Nashville
2024 Cadillac LYRIQ Luxury w/1SE,New,,"$76,170","Est. $1,432/mo",Napleton Cadillac of Oak Lawn
2020 Chevrolet Trax LT,Used,"55,060 mi.","$14,494",Est. $272/mo,Castle Chevrolet of Villa Park
2023 Volkswagen Tiguan 2.0T S,Volkswagen Certified,"15,257 mi.","$22,300",Est. $419/mo,Larry Roesch Volkswagen
2021 Mercedes-Benz GLE 350 4MATIC,Used,"25,905 mi.","$43,895",Est. $825/mo,Jidd Motors Mitsubishi
2024 Land Rover Defender 110 P400 X-Dynamic SE,New,,"$87,498","Est. $1,645/mo","International Autos Jaguar, Land Rover, Subaru, Volvo Cars"
2025 Volvo EX30 Twin Motor Ultra,New,,"$48,595",Est. $913/mo,Volvo Cars Lisle
2021 Audi Q5 Premium Plus,Audi Certified,"48,070 mi.","$29,687",Est. $558/mo,The Audi Exchange
2025 Audi Q5 40 Premium Plus,New,,"$54,575","Est. $1,026/mo",The Audi Exchange
2023 Genesis GV70 3.5T Sport,Used,"7,341 mi.","$51,498",Est. $968/mo,Genesis of Schaumburg
2025 Genesis GV70 2.5T,New,,"$59,130","Est. $1,111/mo",Genesis of Schaumburg
2016 BMW 428 i SULEV,Used,"86,013 mi.","$16,995",Est. $319/mo,Exclusive Auto Haus
2012 Volkswagen Touareg TDI Sport,Used,"129,000 mi.","$10,900",Est. $205/mo,EMH Motors
2025 Chevrolet Equinox RS,New,,"$33,465",Est. $629/mo,Phillips Chevrolet
2025 Chevrolet Trailblazer LT,New,,"$28,415",Est. $534/mo,Phillips Chevrolet
2025 Chevrolet Equinox 1LT,New,,"$33,065",Est. $622/mo,The Chevrolet Exchange
2024 Ford Bronco Black Diamond,New,,"$56,028","Est. $1,053/mo",Zeigler Ford of North Riverside
2025 Buick Encore GX Preferred,New,,"$27,407",Est. $515/mo,Zeigler Buick GMC of Lincolnwood
2024 Mazda Mazda3 FWD w/Select Package,Used,"1,733 mi.","$23,295",Est. $438/mo,The Autobarn Mazda of Evanston
2021 Genesis GV80,Used,"23,049 mi.","$37,998",Est. $714/mo,CarMax Bakersfield
2024 Mazda Mazda3 2.5 Turbo AWD,Used,"3,503 mi.","$31,695",Est. $596/mo,The Autobarn Mazda of Evanston
2025 Chevrolet Equinox 1LT,New,,"$28,886",Est. $543/mo,Advantage Chevrolet of Bridgeview
2023 Nissan Pathfinder SL 4WD,Used,"11,900 mi.","$31,372",Est. $590/mo,Old Orchard Nissan
2023 Cadillac XT6 Premium Luxury,Used,"32,160 mi.","$40,998",Est. $771/mo,CarMax Columbia
2025 Land Rover Defender 110 P500 X-Dynamic SE,New,,"$112,413","Est. $2,113/mo",Jaguar Land Rover Hinsdale
2018 BMW M550 i Xdrive,Used,"83,011 mi.","$26,986",Est. $507/mo,Star Motor Sales
2019 Honda Civic EX,Used,"67,650 mi.","$19,159",Est. $360/mo,Phillips Chevrolet of Lansing
2025 Chevrolet Equinox 1LT,New,,"$30,625",Est. $576/mo,Bill Kay Chevrolet
2024 Audi A3 Premium,Audi Certified,"2,880 mi.","$30,390",Est. $571/mo,The Audi Exchange
2022 Genesis G70 3.3T AWD,Used,"27,943 mi.","$30,589",Est. $575/mo,Gravity Autos Chicago
2022 Toyota Tundra Limited,Used,"57,787 mi.","$41,400",Est. $778/mo,Team Toyota
2024 Audi SQ8 e-tron Premium Plus,New,,"$106,570","Est. $2,003/mo",Audi Hoffman Estates
2021 Audi Q7 55 Premium Plus,Audi Certified,"43,644 mi.","$40,880",Est. $768/mo,Audi Hoffman Estates
2015 BMW 535 xDrive,Used,"109,468 mi.","$13,990",Est. $263/mo,Car City Inc
2011 Porsche Cayenne Base,Used,"93,755 mi.","$10,995",Est. $207/mo,Lake Motor Group LLC
2025 Alfa Romeo Stelvio Sprint AWD,New,,"$56,685","Est. $1,065/mo",Alfa Romeo of Naperville
2024 Ford Bronco Outer Banks,New,,"$52,299",Est. $983/mo,Fair Oaks Ford
2020 Land Rover Range Rover Sport HSE Dynamic,Used,"89,690 mi.","$31,998",Est. $601/mo,Mercedes-Benz of Naperville
2020 BMW X4 M Competition,Used,"76,332 mi.","$41,888",Est. $787/mo,Perillo BMW
2025 Mercedes-Benz GLE-Class GLE 450,New,,"$77,915","Est. $1,465/mo",Loeber Motors Mercedes-Benz
2018 BMW 430 i xDrive,Used,"61,881 mi.","$17,995",Est. $338/mo,carneed
2023 Nissan Rogue SL,Used,"9,349 mi.","$28,998",Est. $545/mo,CarMax Warner Robins
2023 Jeep Grand Cherokee 4xe,Used,"13,780 mi.","$36,998",Est. $695/mo,CarMax Vancouver
2024 Audi Q5 45 S line Prestige,Audi Certified,"10,980 mi.","$47,777",Est. $898/mo,Audi Westmont
2008 Ford F-150 STX,Used,"104,619 mi.","$6,945",Est. $131/mo,Top Gear Motors
2015 BMW X6 xDrive35i,Used,"125,133 mi.","$18,495",Est. $348/mo,Multi Autos
2024 Ford Transit-250 Base,New,,"$48,683",Est. $915/mo,Packey Webb Ford
2022 Ford F-150 Lightning LARIAT,Used,"5,990 mi.","$53,290","Est. $1,002/mo",Packey Webb Ford
2019 Honda Odyssey Elite,Used,"72,999 mi.","$28,010",Est. $526/mo,Castle Hyundai Downers Grove
2024 Lincoln Nautilus Reserve,Used,"5,012 mi.","$57,990","Est. $1,090/mo",Joe Rizza Ford Lincoln
2025 Chevrolet Equinox 1LT,New,,"$27,491",Est. $517/mo,Chevrolet of Homewood
2013 Jaguar XJ Base,Used,"104,827 mi.","$10,990",Est. $207/mo,Luxury Automax
2022 BMW X2 xDrive28i,Used,"32,815 mi.","$26,988",Est. $507/mo,Honda of Lisle
2015 Chevrolet Corvette Z06 Hardtop,Used,"27,368 mi.","$61,401","Est. $1,154/mo",Tasca Chevrolet Wheeling
2024 Ford Transit-150 Base,New,,"$50,654",Est. $952/mo,Hawk Ford of Carol Stream
2025 Nissan Rogue SV,New,,"$34,880",Est. $656/mo,Woodfield Nissan
2025 Nissan Rogue Rock Creek,New,,"$36,553",Est. $687/mo,Woodfield Nissan
2022 Subaru Ascent Limited 7-Passenger,Subaru Certified,"33,952 mi.","$31,999",Est. $601/mo,Napleton's Palatine Subaru
2018 Dodge Grand Caravan SE,Used,"40,775 mi.","$16,377",Est. $308/mo,Castle Chrysler Dodge Jeep Ram of Naperville
2021 Jeep Renegade Latitude,Used,"48,460 mi.","$20,850",Est. $392/mo,Windy City Motors
2017 BMW ALPINA B7 xDrive,Used,"63,870 mi.","$26,985",Est. $507/mo,Luxury Auto Selection
2018 Buick Regal TourX Essence,Used,"92,498 mi.","$19,690",Est. $370/mo,Zeigler Buick GMC of Lincolnwood
2024 Ford Expedition Max XLT,Used,"11,443 mi.","$60,998","Est. $1,147/mo",CarMax Warwick
2015 Honda Accord EX-L,Used,"92,076 mi.","$16,497",Est. $310/mo,Al Piemonte Ford
2013 Kia Rio EX,Used,"43,928 mi.","$12,599",Est. $237/mo,CarMax Salisbury
2012 Hyundai Sonata SE,Used,"112,285 mi.","$7,933",Est. $149/mo,Napleton's Oak Lawn Mazda
2020 Lotus Evora GT Base,Used,"8,996 mi.","$84,939","Est. $1,597/mo",Glenview Luxury Imports
2013 GMC Savana 1500 Work Van,Used,"84,994 mi.","$17,250",Est. $324/mo,Titan Auto Sales
